Column1,Column2
Zanieczyszczenie,Katowice ul. Kossutha 6 - pył zawieszony PM2.5
2015-11-24," 	40.2	"
2015-11-25," 	40.0	"
2015-11-26," 	87.2	"
2015-11-27," 	62.5	"
2015-11-28," 	15.3	"
2015-11-29," 	14.6	"
2015-11-30," 	14.6	"
2015-12-01," 	14.7	"
2015-12-02," 	23.0	"
2015-12-03," 	66.7	"
2015-12-04," 	41.9	"
2015-12-05," 	19.7	"
2015-12-06," 	10.2	"
2015-12-07," 	24.3	"
2015-12-08," 	68.8	"
2015-12-09," 	11.2	"
2015-12-10," 	29.8	"
2015-12-11," 	15.8	"
2015-12-12," 	31.8	"
2015-12-13," 	12.2	"
2015-12-14," 	29.0	"
2015-12-15," 	40.7	"
2015-12-16," 	50.5	"
2015-12-17," 	10.6	"
2015-12-18," 	15.0	"
2015-12-19," 	21.7	"
2015-12-20," 	13.0	"
2015-12-21," 	12.0	"
2015-12-22," 	13.1	"
2015-12-23," 	14.2	"
2015-12-24," 	72.9	"
2015-12-25," 	13.3	"
2015-12-26," 	13.4	"
2015-12-27," 	11.6	"
2015-12-28," 	32.4	"
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-01,
2016-01-02," 	30.3	"
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09," 	72.5	"
2016-01-10," 	98.8	"
2016-01-11," 	90.1	"
2016-01-12," 	15.8	"
2016-01-13," 	19.7	"
2016-01-14," 	31.9	"
2016-01-15," 	42.5	"
2016-01-16," 	47.2	"
2016-01-17," 	50.8	"
2016-01-18," 	55.0	"
2016-01-19," 	111.1	"
2016-01-20," 	74.3	"
2016-01-21," 	45.3	"
2016-01-22," 	72.4	"
2016-01-23," 	96.5	"
2016-01-24," 	57.1	"
2016-01-25," 	25.5	"
2016-01-26," 	31.7	"
2016-01-27," 	17.5	"
2016-01-28," 	21.7	"
2016-01-29," 	35.9	"
2016-01-30," 	14.0	"
2016-01-31," 	11.3	"
2016-02-01," 	17.7	"
2016-02-02," 	14.0	"
2016-02-03," 	17.1	"
2016-02-04," 	19.2	"
2016-02-05," 	25.3	"
2016-02-06," 	27.4	"
2016-02-07," 	32.2	"
2016-02-08," 	16.2	"
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12," 	16.6	"
2016-02-13," 	51.3	"
2016-02-14," 	40.9	"
2016-02-15," 	49.3	"
2016-02-16," 	20.3	"
2016-02-17," 	23.9	"
2016-02-18," 	80.5	"
2016-02-19," 	26.6	"
2016-02-20," 	27.8	"
2016-02-21," 	10.3	"
2016-02-22," 	11.5	"
2016-02-23," 	55.6	"
2016-02-24," 	19.3	"
2016-02-25," 	57.5	"
2016-02-26," 	53.6	"
2016-02-27," 	71.4	"
2016-02-28," 	55.8	"
2016-02-29," 	38.9	"
2016-03-01," 	19.5	"
2016-03-02," 	26.3	"
2016-03-03," 	43.7	"
2016-03-04," 	57.0	"
2016-03-05," 	34.5	"
2016-03-06," 	24.8	"
2016-03-07," 	70.7	"
2016-03-08," 	51.4	"
2016-03-09," 	40.4	"
2016-03-10," 	33.0	"
2016-03-11," 	17.0	"
2016-03-12," 	21.4	"
2016-03-13," 	20.2	"
2016-03-14," 	34.8	"
2016-03-15," 	27.7	"
2016-03-16," 	36.0	"
2016-03-17," 	90.7	"
2016-03-18," 	62.2	"
2016-03-19," 	20.4	"
2016-03-20," 	29.1	"
2016-03-21,
2016-03-22,
2016-03-23," 	53.6	"
2016-03-24," 	43.3	"
2016-03-25," 	26.4	"
2016-03-26," 	44.6	"
2016-03-27," 	37.4	"
2016-03-28," 	27.8	"
2016-03-29," 	15.4	"
2016-03-30," 	13.2	"
2016-03-31," 	30.1	"
2016-04-01," 	23.0	"
2016-04-02," 	29.0	"
2016-04-03," 	23.0	"
2016-04-04," 	28.1	"
2016-04-05," 	32.9	"
2016-04-06," 	36.3	"
2016-04-07," 	39.5	"
2016-04-08," 	18.3	"
2016-04-09," 	12.3	"
2016-04-10," 	25.5	"
2016-04-11," 	38.1	"
2016-04-12," 	57.9	"
2016-04-13," 	37.6	"
2016-04-14," 	33.8	"
2016-04-15," 	21.2	"
2016-04-16," 	15.2	"
2016-04-17," 	21.7	"
2016-04-18," 	18.1	"
2016-04-19," 	29.3	"
2016-04-20," 	17.2	"
2016-04-21," 	16.1	"
2016-04-22," 	13.3	"
2016-04-23," 	29.4	"
2016-04-24," 	14.0	"
2016-04-25," 	15.6	"
2016-04-26," 	26.6	"
2016-04-27," 	14.7	"
2016-04-28," 	13.2	"
2016-04-29," 	25.2	"
2016-04-30," 	22.2	"
2016-05-01," 	16.7	"
2016-05-02," 	16.3	"
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06," 	20.9	"
2016-05-07," 	16.4	"
2016-05-08," 	14.7	"
2016-05-09," 	12.3	"
2016-05-10," 	12.5	"
2016-05-11," 	15.0	"
2016-05-12," 	14.5	"
2016-05-13," 	15.1	"
2016-05-14," 	15.1	"
2016-05-15," 	11.5	"
2016-05-16," 	12.0	"
2016-05-17," 	14.4	"
2016-05-18," 	20.7	"
2016-05-19," 	22.7	"
2016-05-20," 	23.3	"
2016-05-21," 	21.0	"
2016-05-22," 	17.1	"
2016-05-23," 	18.1	"
2016-05-24," 	20.2	"
2016-05-25," 	18.9	"
2016-05-26," 	20.7	"
2016-05-27," 	18.8	"
2016-05-28," 	14.0	"
2016-05-29," 	18.9	"
2016-05-30," 	14.7	"
2016-05-31," 	20.8	"
2016-06-01," 	15.4	"
2016-06-02," 	13.6	"
2016-06-03," 	18.8	"
2016-06-04," 	14.4	"
2016-06-05," 	15.4	"
2016-06-06," 	10.8	"
2016-06-07," 	11.9	"
2016-06-08," 	20.0	"
2016-06-09," 	16.5	"
2016-06-10," 	16.1	"
2016-06-11," 	15.6	"
2016-06-12," 	16.0	"
2016-06-13," 	15.4	"
2016-06-14," 	22.2	"
2016-06-15," 	18.0	"
2016-06-16,
2016-06-17," 	12.4	"
2016-06-18," 	13.9	"
2016-06-19," 	13.1	"
2016-06-20," 	13.0	"
2016-06-21," 	13.0	"
2016-06-22," 	15.0	"
2016-06-23," 	14.3	"
2016-06-24," 	24.5	"
2016-06-25," 	14.7	"
2016-06-26," 	11.3	"
2016-06-27," 	13.2	"
2016-06-28," 	13.7	"
2016-06-29," 	18.1	"
2016-06-30," 	14.8	"
2016-07-01," 	12.0	"
2016-07-02," 	12.0	"
2016-07-03," 	9.9	"
2016-07-04," 	9.5	"
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-09,
2016-07-10,
2016-07-11,
2016-07-12," 	16.5	"
2016-07-13," 	13.0	"
2016-07-14," 	12.5	"
2016-07-15," 	7.9	"
2016-07-16," 	9.8	"
2016-07-17," 	13.1	"
2016-07-18," 	16.8	"
2016-07-19," 	11.8	"
2016-07-20," 	12.3	"
2016-07-21," 	20.5	"
2016-07-22," 	16.5	"
2016-07-23," 	18.2	"
2016-07-24," 	16.7	"
2016-07-25," 	18.8	"
2016-07-26," 	17.4	"
2016-07-27," 	17.6	"
2016-07-28," 	19.3	"
2016-07-29," 	17.7	"
2016-07-30," 	12.8	"
2016-07-31," 	11.0	"
2016-08-01," 	11.2	"
2016-08-02," 	13.1	"
2016-08-03," 	13.0	"
2016-08-04," 	16.7	"
2016-08-05," 	18.1	"
2016-08-06," 	13.6	"
2016-08-07," 	12.0	"
2016-08-08,
2016-08-09,
2016-08-10,
2016-08-11," 	15.8	"
2016-08-12," 	11.2	"
2016-08-13," 	11.7	"
2016-08-14," 	10.6	"
2016-08-15," 	11.7	"
2016-08-16," 	13.2	"
2016-08-17," 	14.1	"
2016-08-18," 	19.1	"
2016-08-19," 	17.6	"
2016-08-20," 	22.6	"
2016-08-21," 	13.3	"
2016-08-22," 	10.8	"
2016-08-23," 	16.5	"
2016-08-24," 	15.3	"
2016-08-25," 	11.0	"
2016-08-26," 	14.1	"
2016-08-27," 	21.5	"
2016-08-28," 	20.0	"
2016-08-29," 	22.3	"
2016-08-30," 	11.7	"
2016-08-31," 	17.3	"
2016-09-01," 	18.5	"
2016-09-02," 	26.3	"
2016-09-03," 	24.3	"
2016-09-04," 	15.9	"
2016-09-05," 	11.1	"
2016-09-06," 	12.4	"
2016-09-07," 	23.1	"
2016-09-08," 	21.6	"
2016-09-09," 	28.7	"
2016-09-10," 	30.5	"
2016-09-11," 	29.6	"
2016-09-12," 	31.7	"
2016-09-13," 	34.6	"
2016-09-14," 	19.8	"
2016-09-15," 	21.8	"
2016-09-16," 	30.6	"
2016-09-17," 	25.0	"
2016-09-18," 	21.9	"
2016-09-19," 	24.2	"
2016-09-20," 	13.8	"
2016-09-21," 	17.8	"
2016-09-22," 	21.5	"
2016-09-23," 	21.5	"
2016-09-24,
2016-09-25," 	29.2	"
2016-09-26," 	22.8	"
2016-09-27," 	24.4	"
2016-09-28," 	32.6	"
2016-09-29," 	15.3	"
2016-09-30," 	19.6	"
2016-10-01," 	21.6	"
2016-10-02," 	21.9	"
2016-10-03," 	15.3	"
2016-10-04," 	12.6	"
2016-10-05," 	12.6	"
2016-10-06,
2016-10-07," 	35.4	"
2016-10-08," 	32.4	"
2016-10-09," 	16.9	"
2016-10-10," 	12.1	"
2016-10-11," 	16.4	"
2016-10-12," 	11.3	"
2016-10-13," 	11.0	"
2016-10-14," 	16.5	"
2016-10-15," 	16.4	"
2016-10-16," 	12.7	"
2016-10-17," 	15.9	"
2016-10-18," 	21.4	"
2016-10-19," 	22.9	"
2016-10-20," 	22.8	"
2016-10-21," 	40.0	"
2016-10-22," 	45.3	"
2016-10-23," 	34.8	"
2016-10-24," 	39.2	"
2016-10-25," 	31.8	"
2016-10-26," 	29.3	"
2016-10-27," 	38.6	"
2016-10-28," 	56.4	"
2016-10-29," 	13.3	"
2016-10-30," 	14.9	"
2016-10-31," 	21.1	"
2016-11-01," 	21.6	"
2016-11-02," 	13.5	"
2016-11-03," 	14.7	"
2016-11-04," 	31.8	"
2016-11-05," 	27.9	"
2016-11-06," 	35.8	"
2016-11-07," 	23.0	"
2016-11-08," 	40.8	"
2016-11-09," 	104.9	"
2016-11-10," 	61.7	"
2016-11-11," 	30.0	"
2016-11-12," 	27.3	"
2016-11-13," 	31.6	"
2016-11-14," 	41.2	"
2016-11-15," 	43.8	"
2016-11-16," 	13.8	"
2016-11-17," 	13.8	"
2016-11-18," 	20.9	"
2016-11-19," 	24.8	"
2016-11-20," 	19.9	"
2016-11-21," 	18.3	"
2016-11-22," 	12.5	"
2016-11-23," 	55.2	"
2016-11-24,
2016-11-25," 	16.8	"
2016-11-26," 	26.3	"
2016-11-27," 	16.6	"
2016-11-28," 	16.6	"
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02," 	14.2	"
2016-12-03," 	23.5	"
2016-12-04," 	78.5	"
2016-12-05," 	79.0	"
2016-12-06," 	46.6	"
2016-12-07," 	32.3	"
2016-12-08," 	27.1	"
2016-12-09," 	32.5	"
2016-12-10," 	21.9	"
2016-12-11," 	14.8	"
2016-12-12," 	12.2	"
2016-12-13," 	53.5	"
2016-12-14," 	40.0	"
2016-12-15," 	40.7	"
2016-12-16," 	48.9	"
2016-12-17," 	49.8	"
2016-12-18," 	60.8	"
2016-12-19,
2016-12-20,
2016-12-21," 	29.4	"
2016-12-22," 	24.5	"
2016-12-23," 	20.4	"
2016-12-24," 	18.2	"
2016-12-25," 	15.9	"
2016-12-26," 	9.0	"
2016-12-27," 	20.0	"
2016-12-28,
2016-12-29," 	45.8	"
2016-12-30," 	115.3	"
2016-12-31," 	110.4	"
2017-01-01," 	56.7	"
2017-01-02," 	55.6	"
2017-01-03," 	21.4	"
2017-01-04," 	12.8	"
2017-01-05," 	15.4	"
2017-01-06," 	30.5	"
2017-01-07," 	102.5	"
2017-01-08," 	141.7	"
2017-01-09," 	264.3	"
2017-01-10," 	207.8	"
2017-01-11," 	116.9	"
2017-01-12," 	33.9	"
2017-01-13," 	13.9	"
2017-01-14," 	23.7	"
2017-01-15," 	25.9	"
2017-01-16," 	64.6	"
2017-01-17," 	60.8	"
2017-01-18," 	49.3	"
2017-01-19," 	61.9	"
2017-01-20," 	134.5	"
2017-01-21," 	119.4	"
2017-01-22," 	114.1	"
2017-01-23," 	106.8	"
2017-01-24," 	77.4	"
2017-01-25," 	79.7	"
2017-01-26," 	74.9	"
2017-01-27," 	146.1	"
2017-01-28," 	128.4	"
2017-01-29," 	109.3	"
2017-01-30," 	132.5	"
2017-01-31," 	143.9	"
2017-02-01," 	204.9	"
2017-02-02," 	115.5	"
2017-02-03," 	80.9	"
2017-02-04," 	39.1	"
2017-02-05,
2017-02-06,
2017-02-07," 	46.2	"
2017-02-08," 	38.4	"
2017-02-09," 	45.5	"
2017-02-10," 	55.0	"
2017-02-11," 	58.7	"
2017-02-12," 	53.8	"
2017-02-13," 	52.1	"
2017-02-14," 	158.2	"
2017-02-15," 	206.7	"
2017-02-16," 	107.4	"
2017-02-17," 	65.0	"
2017-02-18," 	44.7	"
2017-02-19," 	43.4	"
2017-02-20," 	29.3	"
2017-02-21," 	19.7	"
2017-02-22," 	11.6	"
2017-02-23," 	11.1	"
2017-02-24," 	10.9	"
2017-02-25," 	18.2	"
2017-02-26," 	14.7	"
2017-02-27," 	15.0	"
2017-02-28," 	25.0	"
2017-03-01," 	15.1	"
2017-03-02," 	12.6	"
2017-03-03," 	22.8	"
2017-03-04," 	13.0	"
2017-03-05," 	15.7	"
2017-03-06," 	30.5	"
2017-03-07," 	39.3	"
2017-03-08," 	34.7	"
2017-03-09," 	46.9	"
2017-03-10," 	52.2	"
2017-03-11," 	20.7	"
2017-03-12," 	33.2	"
2017-03-13," 	37.4	"
2017-03-14," 	75.0	"
2017-03-15," 	62.6	"
2017-03-16," 	33.4	"
2017-03-17," 	47.0	"
2017-03-18," 	9.8	"
2017-03-19," 	12.7	"
2017-03-20," 	18.6	"
2017-03-21," 	30.6	"
2017-03-22," 	26.7	"
2017-03-23," 	22.3	"
2017-03-24," 	46.9	"
2017-03-25," 	58.7	"
2017-03-26," 	23.9	"
2017-03-27," 	56.8	"
2017-03-28," 	60.8	"
2017-03-29," 	58.7	"
2017-03-30," 	34.2	"
2017-03-31," 	34.9	"
2017-04-01," 	22.3	"
2017-04-02," 	38.8	"
2017-04-03," 	20.1	"
2017-04-04," 	27.4	"
2017-04-05," 	55.4	"
2017-04-06,
2017-04-07," 	14.0	"
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11," 	15.1	"
2017-04-12," 	15.7	"
2017-04-13," 	13.9	"
2017-04-14," 	20.8	"
2017-04-15," 	23.4	"
2017-04-16," 	13.9	"
2017-04-17," 	21.2	"
2017-04-18," 	14.5	"
2017-04-19," 	11.5	"
2017-04-20," 	19.4	"
2017-04-21," 	37.5	"
2017-04-22," 	16.6	"
2017-04-23," 	12.8	"
2017-04-24," 	18.5	"
2017-04-25," 	24.9	"
2017-04-26," 	16.3	"
2017-04-27," 	19.4	"
2017-04-28," 	15.1	"
2017-04-29," 	20.4	"
2017-04-30," 	25.7	"
2017-05-01," 	16.4	"
2017-05-02," 	26.1	"
2017-05-03," 	31.4	"
2017-05-04," 	37.0	"
2017-05-05," 	21.2	"
2017-05-06," 	25.3	"
2017-05-07," 	20.1	"
2017-05-08," 	10.4	"
2017-05-09," 	10.9	"
2017-05-10," 	24.6	"
2017-05-11," 	18.2	"
2017-05-12," 	24.7	"
2017-05-13," 	24.3	"
2017-05-14," 	18.8	"
2017-05-15," 	20.1	"
2017-05-16," 	17.7	"
2017-05-17," 	17.9	"
2017-05-18," 	15.0	"
2017-05-19," 	23.5	"
2017-05-20," 	24.5	"
2017-05-21," 	14.7	"
2017-05-22," 	20.4	"
2017-05-23," 	27.2	"
